period,controller,model_source,co2_ton,v_dev,loss_kwh,ssr,ssc,total_import_kwh,total_export_kwh,self_consumed_pv_kwh,total_abs_action_kwh,avg_abs_action_kw,total_load_kwh,total_pv_kwh,soc_min,soc_mean,soc_max,steps,expected_steps,completion_ratio,crashed,failure_step,failure_reason,failure_soc,failure_voltage,failure_action_kw,failure_executed_action_kw,failure_p_grid_kw,failure_pv_kw,failure_load_kw,failure_success_flag,grid_import_energy_cost,grid_export_market_credit,local_resilience_value,carbon_cost,battery_wear_cost,voltage_deviation_cost,failure_cost,gross_cost_before_credits,total_credits_and_values,net_operating_cost,net_result_type,net_result_magnitude,economic_value_score,net_cost_reduction_vs_simple_rbc_pct,economic_value_score_improvement_vs_simple_rbc_pct,rank_lower_net_cost_is_better
Q4 WINTER TEST SET,Simple RBC,rule_based,2.5305463526111325,0.003422797611333113,394.25657894737316,0.0,6.649297115308606,7282.014820400001,4710.098890666665,335.49663793334,7692.5,3.512958100239753,7245.011458333309,5045.595528600005,0.27901315789476083,0.5846263467351056,0.7234868421052916,8759,8759,1.0,False,,none,,,,,,,,,420.8464205877753,272.4416128970175,16.774831896667003,253.05463526111325,39.42565789473732,34.22797611333113,0.0,747.554689856957,289.2164447936845,458.3382450632725,Net cost,458.3382450632725,-458.3382450632725,0.0,0.0,4
Q4 WINTER TEST SET,Enhanced RBC,rule_based,1.348096040068934,0.0016379137666019754,117.01007013947356,44.27665225075119,66.27887166891556,4037.162929399992,1701.4317432666662,3344.163785333339,2283.6915016000016,1.042900560155269,7245.011458333309,5045.595528600005,0.4325067962631633,0.6154461943531633,0.7249556712561419,8759,8759,1.0,False,,none,,,,,,,,,246.9804338082382,74.60709539640497,167.20818926666698,134.80960400689338,11.701007013947356,16.379137666019755,0.0,409.8701824950986,241.81528466307196,168.05489783202665,Net cost,168.05489783202665,-168.05489783202665,63.33386976929515,63.33386976929515,2
Q4 WINTER TEST SET,MDP-PPO,best_eval,1.5369651618974982,0.0019807207017521677,57.080970961839164,36.62937772058833,53.45555956701913,4591.2088453604965,2348.4442052983754,2697.15132330163,1113.458631828893,0.5084866454293381,7245.011458333309,5045.595528600005,0.3468896279814402,0.424432638310052,0.5492141347534972,8759,8759,1.0,False,,none,,,,,,,,,309.36856179761674,111.40300602682377,134.8575661650815,153.69651618974981,5.708097096183916,19.807207017521677,0.0,488.58038210107213,246.26057219190528,242.31980990916685,Net cost,242.31980990916685,-242.31980990916685,47.13078986552493,47.13078986552493,3
Q4 WINTER TEST SET,POMDP-LSTM-PPO,best_eval,0.6751631940144899,0.001706026729080056,99.38834212154603,50.736775133595536,67.26027163986667,1967.761530367584,1017.7852455225276,2090.930973277471,1938.4474416500889,1.7722948037943669,3994.382291666655,3108.7162187999984,0.1492186985684086,0.43244990643259157,0.707020418232993,4375,8759,0.4994862427217719,True,4374.0,"Digital twin stability_flag returned 0.0, but exact internal physical source is not directly identifiable from current FMU outputs.",0.1492186985684086,0.9983775935542698,0.32427048683166504,0.32427048683166504,2.595850313168335,0.7173792,3.6374999999999997,0.0,143.73912829386688,47.94320404061966,104.54654866387355,67.51631940144898,9.938834212154603,17.06026729080056,5000.0,5238.254549198271,152.4897527044932,5085.764796493778,Net cost,5085.764796493778,-5085.764796493778,-1009.6095190118162,-1009.6095190118162,5
Q4 WINTER TEST SET,POMDP-LSTM-PPO + Formal Shield,best_eval,1.0476180424870052,0.0011286404117680745,237.71467777674096,56.04600649036673,84.74248131585358,3184.47186616801,769.8326805026019,4275.762848097404,4637.907137596296,2.118007597943279,7245.011458333309,5045.595528600005,0.17,0.30742159761551413,0.5522818058231649,8759,8759,1.0,False,,none,,,,,,,,,203.82296009420648,37.507595380952004,213.7881424048702,104.76180424870051,23.771467777674097,11.286404117680744,0.0,343.6426362382618,251.2957377858222,92.34689845243958,Net cost,92.34689845243958,-92.34689845243958,79.85180171039593,79.85180171039593,1
FULL YEAR 2023 DATA,Simple RBC,rule_based,9.14906536996195,0.0042070874806549195,1576.1710526314296,9.21021567564766,12.8396698511842,28667.269714266793,30297.585579599938,4463.1657024000815,30755.0,3.5109449470589915,31575.435416666623,34760.75128200002,0.27894736842112083,0.5853035283241504,0.7236842105263563,35039,35039,1.0,False,,none,,,,,,,,,1820.1832561992865,1450.3539930543348,223.15828512000408,914.906536996195,157.61710526314297,42.07087480654919,0.0,2934.7777732651734,1673.512278174339,1261.2654950908345,Net cost,1261.2654950908345,-1261.2654950908345,0.0,0.0,4
FULL YEAR 2023 DATA,Enhanced RBC,rule_based,5.0354816445284305,0.0025177120309178326,284.733890221576,48.68435604074853,45.0986931533451,16203.138017000034,19084.106723533358,15676.644558466662,5556.464198133325,0.6343176686701485,31575.435416666623,34760.75128200002,0.4338897044263336,0.6461669316434794,0.726091324515803,35039,35039,1.0,False,,none,,,,,,,,,1136.943658379386,593.0973315647898,783.8322279233331,503.548164452843,28.473389022157605,25.177120309178328,0.0,1694.1423321635648,1376.9295594881228,317.212772675442,Net cost,317.212772675442,-317.212772675442,74.84964316314728,74.84964316314728,2
FULL YEAR 2023 DATA,MDP-PPO,best_eval,4.887759652427896,0.002441336850506881,350.5874741254361,50.32797110655247,46.68515301002084,15684.15940339851,18532.64135856553,16228.109923434491,6840.597801166587,0.7809124462646293,31575.435416666623,34760.75128200002,0.3416181302900847,0.4764832095411401,0.6473826997746217,35039,35039,1.0,False,,none,,,,,,,,,1251.3006882282812,640.0981172934376,811.4054961717246,488.77596524278954,35.05874741254361,24.41336850506881,0.0,1799.548769388683,1451.5036134651623,348.0451559235207,Net cost,348.0451559235207,-348.0451559235207,72.40508384014302,72.40508384014302,3
FULL YEAR 2023 DATA,POMDP-LSTM-PPO,best_eval,1.6055401974448746,0.0018571379846361485,239.16301384105847,50.45065900935608,68.8419379991667,5465.986002041885,2643.0212940734027,5839.602862726585,4667.643061127514,1.7103858780240064,11031.399999999983,8482.624156799988,0.1765091998393795,0.47764949898482656,0.8502585092742374,10916,35039,0.3115385713062587,True,10915.0,"Digital twin stability_flag returned 0.0, but exact internal physical source is not directly identifiable from current FMU outputs.",0.8502585092742374,1.000956346456932,-0.18590886890888214,-0.18590886890888214,-1.5301543310911185,6.653563200000001,4.9375,0.0,576.100597798578,100.3004347722013,291.9801431363293,160.55401974448748,23.91630138410585,18.571379846361484,5000.0,5779.142298773533,392.2805779085306,5386.861720865003,Net cost,5386.861720865003,-5386.861720865003,-327.09974559932357,-327.09974559932357,5
FULL YEAR 2023 DATA,POMDP-LSTM-PPO + Formal Shield,best_eval,2.806095584145141,0.0014322467014778733,1269.2057392962938,71.28273146650082,68.3372945517812,9067.602579225759,11006.194290007606,23754.556991992413,24765.20733383951,2.827159146532662,31575.435416666623,34760.75128200002,0.17,0.3589269167303901,0.7427252269479367,35039,35039,1.0,False,,none,,,,,,,,,748.1826055351573,383.7673432441359,1187.7278495996206,280.60955841451414,126.92057392962938,14.322467014778733,0.0,1170.0352048940797,1571.4951928437565,-401.4599879496768,Net surplus / benefit,401.4599879496768,401.4599879496768,131.82993505429752,131.82993505429752,1
