#{"t_start": 1781610295.0788538, "env_id": "None"}
r,l,t
-655.419542,1695,11.65948
-662.462959,3200,19.011359
-654.343711,1450,23.419609
-655.339032,1542,25.897599
-653.889827,1433,29.185733
-626.692941,832,30.304862
-658.47897,1929,34.390666
-635.784742,1007,38.341633
-655.906099,1682,42.4494
-658.024675,2319,47.055814
-648.77709,1323,48.847359
-557.424325,4335,60.298756
-522.394781,410,60.885395
-529.458403,561,61.655655
-532.928256,628,62.522635
-533.321199,638,65.233404
-536.567732,834,66.877171
-536.682438,757,68.381871
-566.133928,1997,72.544408
-570.842161,1761,76.423925
-662.269823,3327,85.060123
-631.815783,891,86.317627
-644.36053,1189,89.33629
-656.310351,1474,92.747761
-655.751113,2565,99.113086
-557.83798,5910,112.850467
-546.387959,991,114.208316
-511.413117,9944,139.26786
596.325069,26279,200.941852
689.261483,26279,263.469527
-598.942614,177,263.710385
-599.042084,178,263.960163
-601.182264,213,264.232938
-600.646484,213,264.512135
-598.55805,173,264.75842
-599.81571,191,265.025159
-599.249669,178,265.262575
-600.095796,195,266.94438
-598.431513,177,267.203579
-598.970397,177,267.45362
-597.941449,169,267.697469
-597.581941,165,268.040992
-599.051885,178,268.370654
-598.14344,173,268.720161
-598.292801,172,269.007475
-599.817223,193,269.357969
-599.197152,179,269.730531
-597.261152,158,270.036252
-598.966725,177,270.381387
-599.784839,190,272.676028
-599.02729,181,272.936057
-598.310374,170,273.178936
-600.746871,210,273.505309
-600.277679,191,273.778453
-598.866835,177,274.023523
-597.864777,168,274.243237
-599.487531,181,274.512989
-599.201215,185,274.793688
-598.215615,176,275.031784
-597.593203,167,275.266787
-599.751568,183,276.957875
-597.485969,160,277.174052
-599.410012,182,277.423194
-600.218085,205,277.706079
-596.951635,150,277.90914
-599.676846,187,278.162309
-600.123256,194,278.438236
-598.95335,176,278.726866
-599.433624,184,278.984872
-599.944123,197,279.262518
-600.274019,202,279.540997
-600.419896,203,281.227524
-599.274977,183,281.480535
-600.230411,197,281.783002
-599.144998,182,282.055299
-600.463467,199,282.339705
-600.901983,209,282.774593
-598.487611,175,283.108193
-599.719281,190,283.453815
-600.184476,207,283.806459
-597.660719,164,284.131202
-600.305978,197,284.53052
-601.458062,218,286.930679
-600.37175,197,287.218133
-599.913431,199,287.484938
-599.974536,189,287.745523
-598.311525,173,287.976647
-599.841936,191,288.298095
-600.408743,207,288.584642
-599.022434,179,288.837149
-600.067803,199,289.110176
-600.707246,208,289.412836
-599.613204,188,291.080869
-599.726804,184,291.335056
-601.515987,221,291.659195
-600.294056,208,291.943961
-599.506067,182,292.193853
-600.634214,215,292.500127
-601.182365,216,292.797191
-600.626655,206,293.080518
-600.058381,202,293.353405
-600.607073,206,293.649367
-599.711998,194,295.281527
-599.320954,184,295.552566
-600.636545,212,295.85342
-597.436113,163,296.075293
-599.514029,185,296.328033
-598.509997,177,296.613361
-599.587569,189,296.955079
-600.373921,205,297.359545
-600.151923,191,297.737464
-601.641423,220,298.150393
-600.154973,201,298.553396
-598.692243,176,300.889168
-600.582422,210,301.361834
-598.987791,184,301.663466
-598.387892,174,301.910937
-600.742323,206,302.207722
-601.545665,251,302.569614
-600.814879,206,302.848891
-599.881441,194,303.12999
-600.547843,213,303.417629
-599.853322,201,303.705777
-600.179603,205,305.372304
-600.184192,199,305.67998
-600.353223,197,305.967689
-601.38832,219,306.30046
-600.567176,205,306.602887
-601.760697,247,306.95817
-601.098781,215,307.281634
-601.078943,213,307.577596
-602.351952,265,307.941256
-600.563468,216,309.710852
-601.214028,252,310.084855
-600.815619,216,310.403416
-602.421232,232,310.735079
-605.771672,305,311.17327
-601.298027,219,311.55359
-604.589481,290,312.132635
-604.82674,296,312.725886
-603.988136,280,315.2304
-610.933304,381,316.105351
-607.727472,330,316.547778
-607.526938,323,317.01474
-602.97666,275,317.397813
-608.296052,358,317.89355
-604.401322,283,318.281631
-606.147004,312,320.141225
-608.080478,361,320.718526
-609.676408,373,321.257022
-620.557764,573,322.080305
-612.129469,405,322.678436
-649.579528,1273,325.805445
-612.662183,411,326.528081
-206.03094,16382,366.399385
-274.974627,14567,398.23946
871.818455,26279,459.844601
990.83063,26279,523.418047
231.728952,21624,573.369549
-597.225847,170,573.721653
-597.929089,179,574.039928
-597.199673,168,574.408496
-599.315026,197,574.949129
-597.483086,172,575.357087
-599.239315,193,575.737615
-598.649441,181,576.08208
-598.421932,181,576.410892
-599.541851,198,576.776822
-604.631115,307,578.98105
-599.852516,212,579.278464
-599.545345,198,579.58075
-599.549188,205,579.864467
-601.060333,225,580.168638
-600.249419,221,580.483054
-600.524719,224,580.795325
-597.700969,174,581.021922
-599.046978,192,581.282785
-599.515678,196,581.568018
-617.859763,504,583.676155
-604.1434,296,584.081392
-599.254814,197,584.349301
-616.778161,490,585.093676
-610.489475,387,585.617983
-624.573866,675,588.044714
-618.652694,513,588.935577
-626.321794,699,590.237015
382.822134,23355,646.453195
192.277586,20378,694.689359
-548.456955,8474,715.0921
-577.823212,6531,730.021826
-361.513704,11640,756.888827
392.096243,22295,807.655435
-631.845432,3292,814.367665
-632.347125,3379,822.218369
-633.379339,3366,830.124431
-634.107101,3290,838.206908
-633.099528,3354,846.206023
-637.479788,2764,852.488432
-634.679231,3202,860.433771
-634.765276,3295,867.215101
-596.434853,4734,878.188241
-633.555381,3382,885.479977
-634.093526,3377,892.968687
-346.09382,11629,921.012456
-632.808195,3373,928.549146
-633.065084,3382,936.0535
-633.435639,3291,944.573245
-639.52593,2806,951.286221
-636.86678,2730,957.748321
-639.696059,2530,962.554849
-638.508506,2765,970.596579
-637.200242,2733,975.958942
-632.930956,3292,984.653671
-639.881254,2786,990.053366
-637.380186,2716,995.815304
-639.706943,2622,1003.612414
-639.704565,2771,1009.598339
-639.52151,2626,1016.154938
-639.591139,2617,1022.850271
-624.57625,676,1023.839899
-638.257024,2714,1031.043949
-640.500012,2619,1036.912196
-642.964516,2793,1045.317224
-644.214931,2791,1050.799705
-637.164114,3361,1060.486031
-638.86557,3393,1069.582561
-636.95735,3365,1077.946318
535.558091,26221,1138.570295
-568.251401,7505,1155.693841
-600.439237,5507,1168.038078
-639.304375,3372,1176.99659
