episode_reward,episode_length,wall_time,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc,source_file,episode,timesteps,moving_average_reward_5,moving_average_reward_10
-655.419542,1695,2.86231,0.1504914724155427,0.1479915094645351,0.949985921382904,0.949985921382904,0,100.0,0.2008490535464896,1,-500.0,-600.0,1,100.0,3,0,3,0.1479915094645351,mdp_train.monitor.csv,1,1695,-655.419542,-655.419542
-662.462959,3200,11.037707,0.1545274180785823,0.1492642601838454,2.6451315879821777,2.0,1,100.0,0.0735739816154518,1,-500.0,-600.0,1,100.0,1,0,1,0.1492642601838454,mdp_train.monitor.csv,2,4895,-658.9412505,-658.9412505
-654.343711,1450,14.537977,0.1531438328962225,0.1484065005898123,1.800186276435852,1.800186276435852,0,100.0,0.1593499410187632,1,-500.0,-600.0,1,100.0,0,0,0,0.1484065005898123,mdp_train.monitor.csv,3,6345,-657.4087373333333,-657.4087373333333
-655.339032,1542,16.74708,0.1508315911220481,0.14790865243638,1.110716700553894,1.110716700553894,0,100.0,0.2091347563620005,1,-500.0,-600.0,1,100.0,3,0,3,0.14790865243638,mdp_train.monitor.csv,4,7887,-656.891311,-656.891311
-653.889827,1433,21.26912,0.1511946339271224,0.1492964579785779,0.7213068604469299,0.7213068604469299,0,100.0,0.0703542021422087,1,-500.0,-600.0,1,100.0,10,0,10,0.1492964579785779,mdp_train.monitor.csv,5,9320,-656.2910142,-656.2910142
-626.692941,832,22.377965,0.1513861203521102,0.1481919786504621,1.2137738466262815,1.2137738466262815,0,100.0,0.1808021349537891,1,-500.0,-600.0,1,100.0,4,0,4,0.1481919786504621,mdp_train.monitor.csv,6,10152,-650.545694,-651.3580019999999
-658.47897,1929,26.386395,0.1509673537573984,0.1457041958626616,2.084899663925171,2.0,1,100.0,0.4295804137338405,1,-500.0,-600.0,1,100.0,5,0,5,0.1457041958626616,mdp_train.monitor.csv,7,12081,-649.7488962,-652.3752831428571
-635.784742,1007,29.082305,0.151588781051804,0.14743666785257,1.5778030157089231,1.5778030157089231,0,100.0,0.2563332147429958,1,-500.0,-600.0,1,100.0,4,0,4,0.14743666785257,mdp_train.monitor.csv,8,13088,-646.0371024,-650.3014655
-655.906099,1682,33.435961,0.1507210079716332,0.1484680120037682,0.8561384677886963,0.8561384677886963,0,100.0,0.153198799623172,1,-500.0,-600.0,1,100.0,6,0,6,0.1484680120037682,mdp_train.monitor.csv,9,14770,-646.1505158,-650.9242025555556
-658.024675,2319,38.512576,0.1505143872032822,0.1494882336388291,0.3899383544921875,0.3899383544921875,0,100.0,0.0511766361170895,1,-500.0,-600.0,1,100.0,4,0,4,0.1494882336388291,mdp_train.monitor.csv,10,17089,-646.9774854,-651.6342498
-648.77709,1323,40.282217,0.1503349700266452,0.1468967730287517,1.306514859199524,1.306514859199524,0,100.0,0.310322697124829,1,-500.0,-600.0,1,100.0,3,0,3,0.1468967730287517,mdp_train.monitor.csv,11,18412,-651.3943152,-650.9700046
-557.424325,4335,51.440601,0.8489455994244628,0.8510180771302395,-0.8726221919059753,-0.8726221919059753,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.2989275590022117,mdp_train.monitor.csv,12,22747,-631.1833862000001,-640.4661411999999
-522.394781,410,51.990692,0.8496650368979098,0.8501882739325883,-0.2203103303909301,-0.2203103303909301,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.500665281355381,mdp_train.monitor.csv,13,23157,-608.505394,-627.2712482000001
-529.458403,561,52.765287,0.8491522788291683,0.8507722504695764,-0.6820933222770691,-0.6820933222770691,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4998501974501108,mdp_train.monitor.csv,14,23718,-583.2158548,-614.6831853000001
-532.928256,628,53.591368,0.8492302710954095,0.851404640750959,-0.9155240654945374,-0.9155240654945374,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.49984641478544,mdp_train.monitor.csv,15,24346,-558.1965710000001,-602.5870282000001
-533.321199,638,55.843564,0.8480673251145168,0.852989598660974,-2.0725362300872803,-2.0725362300872803,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4888320970754874,mdp_train.monitor.csv,16,24984,-535.1053927999999,-593.249854
-536.567732,834,56.972957,0.849039512354243,0.8516538699747207,-1.1007821559906006,-1.1007821559906006,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4930372729202438,mdp_train.monitor.csv,17,25818,-530.9340742,-581.0587302
-536.682438,757,57.998798,0.8499874859326778,0.8504029947393833,-0.1749510765075683,-0.1749510765075683,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.499786986959608,mdp_train.monitor.csv,18,26575,-533.7916056,-571.1484998
-566.133928,1997,62.867985,0.8477504993452143,0.852010004810841,-1.7934759855270386,-1.7934759855270386,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4615827229546481,mdp_train.monitor.csv,19,28572,-541.1267105999999,-562.1712826999999
-570.842161,1761,67.117246,0.8482874479176189,0.8515379907222177,-1.3686496019363403,-1.3686496019363403,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.5018778368085622,mdp_train.monitor.csv,20,30333,-548.7094916,-553.4530313
-662.269823,3327,74.269869,0.1502699564560691,0.1488492177903879,0.5398806929588318,0.5398806929588318,0,100.0,0.1150782209612011,1,-500.0,-600.0,1,100.0,1,0,1,0.1488492177903879,mdp_train.monitor.csv,21,33660,-574.4992163999999,-554.8023046
