#{"t_start": 1781619898.2481868, "env_id": "None"}
r,l,t,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc
-655.591685,2184,6.253156,0.15146098384614304,0.14779186120041357,1.3942666053771973,1.3942666053771973,0,100.0,0.22081387995864232,1,-500.0,-600.0,1,100.0,8,0,8,0.14779186120041357
-641.240907,1170,8.830121,0.1529595790286799,0.1486172994062506,1.6500662565231323,1.6500662565231323,0,100.0,0.13827005937493975,1,-500.0,-600.0,1,100.0,6,0,6,0.1486172994062506
-629.238268,815,11.460943,0.15127489430761207,0.1478028952019578,1.3193596601486206,1.3193596601486206,0,100.0,0.21971047980421932,1,-500.0,-600.0,1,100.0,2,0,2,0.1478028952019578
-643.402439,1194,13.147401,0.15029893405514969,0.1477774210448235,0.9581749439239502,0.9581749439239502,0,100.0,0.22225789551764963,1,-500.0,-600.0,1,100.0,0,0,0,0.1477774210448235
-641.01361,1094,16.089693,0.15056737280406582,0.14733503926942354,1.2282867431640625,1.2282867431640625,0,100.0,0.26649607305764544,1,-500.0,-600.0,1,100.0,3,0,3,0.14733503926942354
-629.285157,812,17.293165,0.1513434828400707,0.1473162416853498,1.5303516387939453,1.5303516387939453,0,100.0,0.2683758314650203,1,-500.0,-600.0,1,100.0,3,0,3,0.1473162416853498
-636.873455,1029,20.914134,0.15031567777379562,0.14994410045758674,0.14119938015937805,0.14119938015937805,0,100.0,0.005589954241325135,1,-500.0,-600.0,1,100.0,2,0,2,0.14994410045758674
-626.47044,761,22.389414,0.15081072301579337,0.14795065781910358,1.0868247747421265,1.0868247747421265,0,100.0,0.20493421808964185,1,-500.0,-600.0,1,100.0,3,0,3,0.14795065781910358
-634.370726,973,24.059666,0.15255714238351747,0.14762436613318017,1.8744549751281738,1.8744549751281738,0,100.0,0.23756338668198262,1,-500.0,-600.0,1,100.0,6,0,6,0.14762436613318017
-638.762152,1135,27.015074,0.1520268024264001,0.14716144436235093,1.848836064338684,1.848836064338684,0,100.0,0.2838555637649065,1,-500.0,-600.0,1,100.0,1,0,1,0.14716144436235093
-630.46689,881,28.272912,0.15032973495115876,0.14899450761854166,0.5073863863945007,0.5073863863945007,0,100.0,0.10054923814583339,1,-500.0,-600.0,1,100.0,4,0,4,0.14899450761854166
-654.906599,1526,32.264284,0.15255335187394903,0.14794911360223578,1.7496105432510376,1.7496105432510376,0,100.0,0.20508863977642122,1,-500.0,-600.0,1,100.0,7,0,7,0.14794911360223578
-660.286041,2787,40.609356,0.15149540270916498,0.14767180050961054,1.4529688358306885,1.4529688358306885,0,100.0,0.23281994903894543,1,-500.0,-600.0,1,100.0,5,0,5,0.14767180050961054
-563.51465,5583,54.254834,0.8477422244553264,0.8512243571434911,-1.4661611318588257,-1.4661611318588257,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.3610703073115522
-652.405077,7115,71.782509,0.15271679107818453,0.1474536331834477,2.220752000808716,2.0,1,100.0,0.25463668165522924,1,-500.0,-600.0,1,100.0,10,0,10,0.1474536331834477
-660.556735,2243,76.513779,0.1524970769526148,0.14980228069158028,1.0240225791931152,1.0240225791931152,0,100.0,0.01977193084197193,1,-500.0,-600.0,1,100.0,8,0,8,0.14980228069158028
-661.953886,3195,83.941019,0.15194830482907504,0.14812688196355878,1.4521406888961792,1.4521406888961792,0,100.0,0.1873118036441218,1,-500.0,-600.0,1,100.0,7,0,7,0.14812688196355878
-552.188743,5355,97.230448,0.8488564174916742,0.8528761157389877,-1.6925045251846313,-1.6925045251846313,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.2072892985244789
-555.697557,5819,110.641135,0.8488496330654385,0.850961188552356,-0.8890759944915771,-0.8890759944915771,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.49611853877258927
-539.535769,8157,136.741875,0.8487547166314474,0.8503605148982755,-0.6761255860328674,-0.6761255860328674,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.47427959324145
-560.363533,2652,143.363075,0.8485162592739386,0.8520869403690619,-1.5034446716308594,-1.5034446716308594,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.49159865594116076
-565.304342,2396,148.033494,0.849885755954088,0.8558524752834451,-2.512302875518799,-2.512302875518799,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.49504394310438316
-499.375689,9569,171.259994,0.8486570317196602,0.8508226587074751,-0.911842942237854,-0.911842942237854,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.45733075561510433
-322.303286,13696,203.648946,0.8480598102181878,0.8523475287973609,-1.805355191230774,-1.805355191230774,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.2619732357386643
-611.9272,412,204.205908,0.15163327758504372,0.14910392405426032,0.9611543416976929,0.9611543416976929,0,100.0,0.08960759457396772,1,-500.0,-600.0,1,100.0,1,0,1,0.14910392405426032
-608.937372,368,204.730469,0.15172378253647562,0.14787214764506598,1.4636212587356567,1.4636212587356567,0,100.0,0.21278523549340123,1,-500.0,-600.0,1,100.0,2,0,2,0.14787214764506598
-609.466465,376,205.243636,0.15526217329752123,0.1499990154027844,2.0258705615997314,2.0,1,100.0,9.845972155919647e-05,1,-500.0,-600.0,1,100.0,6,0,6,0.1499990154027844
-616.779788,483,205.944569,0.1536859619029997,0.1498393717604987,1.4617042541503906,1.4617042541503906,0,100.0,0.016062823950130367,1,-500.0,-600.0,1,100.0,2,0,2,0.1498393717604987
-622.159288,615,208.177221,0.1542084127278801,0.14976188301319537,1.6896812915802002,1.6896812915802002,0,100.0,0.023811698680462068,1,-500.0,-600.0,1,100.0,4,0,4,0.14976188301319537
-616.838249,486,208.855135,0.15212582192644772,0.14830401570895296,1.4522863626480103,1.4522863626480103,0,100.0,0.16959842910470313,1,-500.0,-600.0,1,100.0,2,0,2,0.14830401570895296
-611.080601,400,209.396874,0.15264641474214366,0.14885829550133267,1.4394853115081787,1.4394853115081787,0,100.0,0.1141704498667323,1,-500.0,-600.0,1,100.0,1,0,1,0.14885829550133267
-617.628025,488,210.077118,0.1502833302888869,0.1485247156358517,0.6682735681533813,0.6682735681533813,0,100.0,0.14752843641482882,1,-500.0,-600.0,1,100.0,0,0,0,0.1485247156358517
-612.068416,410,212.250162,0.15007580418973,0.14627937919852388,1.4426414966583252,1.4426414966583252,0,100.0,0.37206208014761155,1,-500.0,-600.0,1,100.0,4,0,4,0.14627937919852388
-606.848618,356,212.940441,0.15410667922553664,0.14901199887859595,1.9359785318374634,1.9359785318374634,0,100.0,0.09880011214040418,1,-500.0,-600.0,1,100.0,3,0,3,0.14901199887859595
-609.900333,380,213.72694,0.15239776466100619,0.14713460676626935,2.751342296600342,2.0,1,100.0,0.286539323373064,1,-500.0,-600.0,1,100.0,2,0,2,0.14713460676626935
-610.978727,396,214.496401,0.1507036727410734,0.14666098614063924,1.536220908164978,1.536220908164978,0,100.0,0.3339013859360751,1,-500.0,-600.0,1,100.0,0,0,0,0.14666098614063924
-619.062887,558,215.668169,0.15020383076004612,0.1483189555879832,0.7162525653839111,0.7162525653839111,0,100.0,0.16810444120168022,1,-500.0,-600.0,1,100.0,5,0,5,0.1483189555879832
-616.168561,465,217.971768,0.155020915212698,0.14975775731796118,2.508110523223877,2.0,1,100.0,0.024224268203881794,1,-500.0,-600.0,1,100.0,4,0,4,0.14975775731796118
-617.181323,486,218.668408,0.15180115792117296,0.1499622208331101,0.6987960934638977,0.6987960934638977,0,100.0,0.0037779166889906346,1,-500.0,-600.0,1,100.0,5,0,5,0.1499622208331101
-616.204066,476,219.332237,0.153561387870265,0.14829822997552816,2.149937391281128,2.0,1,100.0,0.17017700244718326,1,-500.0,-600.0,1,100.0,3,0,3,0.14829822997552816
-624.821,671,220.256126,0.151886580708339,0.1469601238051825,1.872053623199463,1.872053623199463,0,100.0,0.30398761948174924,1,-500.0,-600.0,1,100.0,4,0,4,0.1469601238051825
-617.01588,479,222.307522,0.15110323937788697,0.1474645828620628,1.3826894760131836,1.3826894760131836,0,100.0,0.25354171379372015,1,-500.0,-600.0,1,100.0,2,0,2,0.1474645828620628
-614.964467,461,222.98608,0.152581958802564,0.14838192880197776,1.5960114002227783,1.5960114002227783,0,100.0,0.16180711980222362,1,-500.0,-600.0,1,100.0,2,0,2,0.14838192880197776
-617.320068,495,223.686618,0.15176270994083255,0.14770957056795672,1.54019296169281,1.54019296169281,0,100.0,0.22904294320432728,1,-500.0,-600.0,1,100.0,4,0,4,0.14770957056795672
-618.917968,516,224.417108,0.15188818026387965,0.14797813658509404,1.4858165979385376,1.4858165979385376,0,100.0,0.20218634149059556,1,-500.0,-600.0,1,100.0,4,0,4,0.14797813658509404
-638.275207,1061,227.791781,0.15086851219166297,0.14560535429692614,2.0558583736419678,2.0,1,100.0,0.43946457030738517,1,-500.0,-600.0,1,100.0,9,0,9,0.14560535429692614
-618.987491,509,228.791797,0.15043668335916419,0.14859425516431507,0.7001227140426636,0.7001227140426636,0,100.0,0.14057448356849245,1,-500.0,-600.0,1,100.0,8,0,8,0.14859425516431507
-625.719539,675,230.242734,0.1549956651354007,0.14973250724066386,2.3835623264312744,2.0,1,100.0,0.02674927593361298,1,-500.0,-600.0,1,100.0,3,0,3,0.14973250724066386
-520.58084,7256,251.638955,0.8489857378074575,0.8528064394661832,-1.6087164878845215,-1.6087164878845215,0,0.0,0.0,0,-500.0,-500.0,0,0.0,3,0,3,0.17980062043247722
-448.919951,9659,275.798561,0.848769411315726,0.8514701811871993,-1.1371662616729736,-1.1371662616729736,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4180199880258721
-75.339872,16854,314.002393,0.8444681558509405,0.8528102143605287,-3.5124456882476807,-3.5124456882476807,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.24465988355095641
988.695235,26279,382.95918,0.5648113602495967,0.561204706722387,1.3705283403396606,1.3705283403396606,0,0.0,0.0,0,0.016442334949749494,0.016442334949749494,0,0.0,0,0,0,0.22878981335887522
1110.255306,26279,444.728314,0.39907469081173763,0.3975351886365069,0.585010826587677,0.585010826587677,0,0.0,0.0,0,-0.009935595354507047,-0.009935595354507047,0,0.0,0,0,0,0.22245109066152413
-603.022694,299,445.172236,0.1509909329918261,0.14937377898336227,0.6145185232162476,0.6145185232162476,0,100.0,0.06262210166377291,1,-500.0,-600.0,1,100.0,4,0,4,0.14937377898336227
-603.360693,301,445.620993,0.15187051123939435,0.1499029757185396,0.7476634979248047,0.7476634979248047,0,100.0,0.009702428146038389,1,-500.0,-600.0,1,100.0,0,0,0,0.1499029757185396
-603.625883,305,446.056617,0.15040333572324174,0.1470535575102427,1.2729157209396362,1.2729157209396362,0,100.0,0.2946442489757284,1,-500.0,-600.0,1,100.0,0,0,0,0.1470535575102427
-609.914548,387,446.608274,0.1527083840013334,0.1481123121933717,1.7465072870254517,1.7465072870254517,0,100.0,0.1887687806628291,1,-500.0,-600.0,1,100.0,2,0,2,0.1481123121933717
-604.429644,314,447.067135,0.15126063901519293,0.14952868928426963,0.6581408977508545,0.6581408977508545,0,100.0,0.04713107157303664,1,-500.0,-600.0,1,100.0,0,0,0,0.14952868928426963
-603.753029,308,449.335012,0.15024386448707228,0.147729067351669,0.9556229114532471,0.9556229114532471,0,100.0,0.22709326483310033,1,-500.0,-600.0,1,100.0,0,0,0,0.147729067351669
-603.860081,303,449.920678,0.15200405118781068,0.14924726546879244,1.0475785732269287,1.0475785732269287,0,100.0,0.0752734531207555,1,-500.0,-600.0,1,100.0,0,0,0,0.14924726546879244
