episode_reward,episode_length,wall_time,soc_before,soc_after,original_action_kw,protected_action_kw,soc_action_protection_applied,soc_fibonacci_penalty,soc_deficit_percent_below_15,soc_fibonacci_level,reward_before_soc_penalty,reward_after_soc_penalty,episode_soc_penalty_count,episode_soc_penalty_total,episode_action_protection_count,episode_action_block_count,episode_action_clip_count,episode_min_soc,source_file,episode,timesteps,moving_average_reward_5,moving_average_reward_10
-655.591685,2184,6.253156,0.151460983846143,0.1477918612004135,1.3942666053771973,1.3942666053771973,0,100.0,0.2208138799586423,1,-500.0,-600.0,1,100.0,8,0,8,0.1477918612004135,pomdp_lstm_train.monitor.csv,1,2184,-655.591685,-655.591685
-641.240907,1170,8.830121,0.1529595790286799,0.1486172994062506,1.6500662565231323,1.6500662565231323,0,100.0,0.1382700593749397,1,-500.0,-600.0,1,100.0,6,0,6,0.1486172994062506,pomdp_lstm_train.monitor.csv,2,3354,-648.416296,-648.416296
-629.238268,815,11.460943,0.151274894307612,0.1478028952019578,1.3193596601486206,1.3193596601486206,0,100.0,0.2197104798042193,1,-500.0,-600.0,1,100.0,2,0,2,0.1478028952019578,pomdp_lstm_train.monitor.csv,3,4169,-642.0236199999999,-642.0236199999999
-643.402439,1194,13.147401,0.1502989340551496,0.1477774210448235,0.9581749439239502,0.9581749439239502,0,100.0,0.2222578955176496,1,-500.0,-600.0,1,100.0,0,0,0,0.1477774210448235,pomdp_lstm_train.monitor.csv,4,5363,-642.3683247499999,-642.3683247499999
-641.01361,1094,16.089693,0.1505673728040658,0.1473350392694235,1.2282867431640625,1.2282867431640625,0,100.0,0.2664960730576454,1,-500.0,-600.0,1,100.0,3,0,3,0.1473350392694235,pomdp_lstm_train.monitor.csv,5,6457,-642.0973818,-642.0973818
-629.285157,812,17.293165,0.1513434828400707,0.1473162416853498,1.530351638793945,1.530351638793945,0,100.0,0.2683758314650203,1,-500.0,-600.0,1,100.0,3,0,3,0.1473162416853498,pomdp_lstm_train.monitor.csv,6,7269,-636.8360762,-639.962011
-636.873455,1029,20.914134,0.1503156777737956,0.1499441004575867,0.141199380159378,0.141199380159378,0,100.0,0.0055899542413251,1,-500.0,-600.0,1,100.0,2,0,2,0.1499441004575867,pomdp_lstm_train.monitor.csv,7,8298,-635.9625857999999,-639.5207887142858
-626.47044,761,22.389414,0.1508107230157933,0.1479506578191035,1.0868247747421265,1.0868247747421265,0,100.0,0.2049342180896418,1,-500.0,-600.0,1,100.0,3,0,3,0.1479506578191035,pomdp_lstm_train.monitor.csv,8,9059,-635.4090202,-637.8894951249999
-634.370726,973,24.059666,0.1525571423835174,0.1476243661331801,1.8744549751281736,1.8744549751281736,0,100.0,0.2375633866819826,1,-500.0,-600.0,1,100.0,6,0,6,0.1476243661331801,pomdp_lstm_train.monitor.csv,9,10032,-633.6026776000001,-637.4985207777777
-638.762152,1135,27.015074,0.1520268024264001,0.1471614443623509,1.848836064338684,1.848836064338684,0,100.0,0.2838555637649065,1,-500.0,-600.0,1,100.0,1,0,1,0.1471614443623509,pomdp_lstm_train.monitor.csv,10,11167,-633.152386,-637.6248839
-630.46689,881,28.272912,0.1503297349511587,0.1489945076185416,0.5073863863945007,0.5073863863945007,0,100.0,0.1005492381458333,1,-500.0,-600.0,1,100.0,4,0,4,0.1489945076185416,pomdp_lstm_train.monitor.csv,11,12048,-633.3887326,-635.1124044000001
-654.906599,1526,32.264284,0.152553351873949,0.1479491136022357,1.7496105432510376,1.7496105432510376,0,100.0,0.2050886397764212,1,-500.0,-600.0,1,100.0,7,0,7,0.1479491136022357,pomdp_lstm_train.monitor.csv,12,13574,-636.9953614,-636.4789736
-660.286041,2787,40.609356,0.1514954027091649,0.1476718005096105,1.4529688358306885,1.4529688358306885,0,100.0,0.2328199490389454,1,-500.0,-600.0,1,100.0,5,0,5,0.1476718005096105,pomdp_lstm_train.monitor.csv,13,16361,-643.7584816000001,-639.5837509
-563.51465,5583,54.254834,0.8477422244553264,0.8512243571434911,-1.4661611318588257,-1.4661611318588257,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.3610703073115522,pomdp_lstm_train.monitor.csv,14,21944,-629.5872664,-631.594972
-652.405077,7115,71.782509,0.1527167910781845,0.1474536331834477,2.220752000808716,2.0,1,100.0,0.2546366816552292,1,-500.0,-600.0,1,100.0,10,0,10,0.1474536331834477,pomdp_lstm_train.monitor.csv,15,29059,-632.3158514,-632.7341187
-660.556735,2243,76.513779,0.1524970769526148,0.1498022806915802,1.0240225791931152,1.0240225791931152,0,100.0,0.0197719308419719,1,-500.0,-600.0,1,100.0,8,0,8,0.1498022806915802,pomdp_lstm_train.monitor.csv,16,31302,-638.3338203999999,-635.8612765
-661.953886,3195,83.941019,0.151948304829075,0.1481268819635587,1.4521406888961792,1.4521406888961792,0,100.0,0.1873118036441218,1,-500.0,-600.0,1,100.0,7,0,7,0.1481268819635587,pomdp_lstm_train.monitor.csv,17,34497,-639.7432778,-638.3693196
-552.188743,5355,97.230448,0.8488564174916742,0.8528761157389877,-1.6925045251846311,-1.6925045251846311,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.2072892985244789,pomdp_lstm_train.monitor.csv,18,39852,-618.1238182,-630.9411499
-555.697557,5819,110.641135,0.8488496330654385,0.850961188552356,-0.8890759944915771,-0.8890759944915771,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4961185387725892,pomdp_lstm_train.monitor.csv,19,45671,-616.5603996,-623.073833
-539.535769,8157,136.741875,0.8487547166314474,0.8503605148982755,-0.6761255860328674,-0.6761255860328674,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.47427959324145,pomdp_lstm_train.monitor.csv,20,53828,-593.9865379999999,-613.1511947
-560.363533,2652,143.363075,0.8485162592739386,0.8520869403690619,-1.5034446716308594,-1.5034446716308594,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4915986559411607,pomdp_lstm_train.monitor.csv,21,56480,-573.9478976,-606.1408589999999
-565.304342,2396,148.033494,0.849885755954088,0.8558524752834451,-2.512302875518799,-2.512302875518799,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4950439431043831,pomdp_lstm_train.monitor.csv,22,58876,-554.6179887999999,-597.1806333
-499.375689,9569,171.259994,0.8486570317196602,0.8508226587074751,-0.911842942237854,-0.911842942237854,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4573307556151043,pomdp_lstm_train.monitor.csv,23,68445,-544.0553779999999,-581.0895981000001
-322.303286,13696,203.648946,0.8480598102181878,0.8523475287973609,-1.805355191230774,-1.805355191230774,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.2619732357386643,pomdp_lstm_train.monitor.csv,24,82141,-497.3765238,-556.9684617
-611.9272,412,204.205908,0.1516332775850437,0.1491039240542603,0.9611543416976928,0.9611543416976928,0,100.0,0.0896075945739677,1,-500.0,-600.0,1,100.0,1,0,1,0.1491039240542603,pomdp_lstm_train.monitor.csv,25,82553,-511.85481,-552.920674
-608.937372,368,204.730469,0.1517237825364756,0.1478721476450659,1.4636212587356567,1.4636212587356567,0,100.0,0.2127852354934012,1,-500.0,-600.0,1,100.0,2,0,2,0.1478721476450659,pomdp_lstm_train.monitor.csv,26,82921,-521.5695777999999,-547.7587377
-609.466465,376,205.243636,0.1552621732975212,0.1499990154027844,2.0258705615997314,2.0,1,100.0,9.845972155919648e-05,1,-500.0,-600.0,1,100.0,6,0,6,0.1499990154027844,pomdp_lstm_train.monitor.csv,27,83297,-530.4020023999999,-542.5099956
-616.779788,483,205.944569,0.1536859619029997,0.1498393717604987,1.4617042541503906,1.4617042541503906,0,100.0,0.0160628239501303,1,-500.0,-600.0,1,100.0,2,0,2,0.1498393717604987,pomdp_lstm_train.monitor.csv,28,83780,-553.8828222,-548.9691000999999
-622.159288,615,208.177221,0.1542084127278801,0.1497618830131953,1.6896812915802002,1.6896812915802002,0,100.0,0.023811698680462,1,-500.0,-600.0,1,100.0,4,0,4,0.1497618830131953,pomdp_lstm_train.monitor.csv,29,84395,-613.8540225999999,-555.6152732
-616.838249,486,208.855135,0.1521258219264477,0.1483040157089529,1.4522863626480105,1.4522863626480105,0,100.0,0.1695984291047031,1,-500.0,-600.0,1,100.0,2,0,2,0.1483040157089529,pomdp_lstm_train.monitor.csv,30,84881,-614.8362324,-563.3455212
-611.080601,400,209.396874,0.1526464147421436,0.1488582955013326,1.4394853115081787,1.4394853115081787,0,100.0,0.1141704498667323,1,-500.0,-600.0,1,100.0,1,0,1,0.1488582955013326,pomdp_lstm_train.monitor.csv,31,85281,-615.2648781999999,-568.417228
-617.628025,488,210.077118,0.1502833302888869,0.1485247156358517,0.6682735681533813,0.6682735681533813,0,100.0,0.1475284364148288,1,-500.0,-600.0,1,100.0,0,0,0,0.1485247156358517,pomdp_lstm_train.monitor.csv,32,85769,-616.8971902,-573.6495963
-612.068416,410,212.250162,0.15007580418973,0.1462793791985238,1.4426414966583252,1.4426414966583252,0,100.0,0.3720620801476115,1,-500.0,-600.0,1,100.0,4,0,4,0.1462793791985238,pomdp_lstm_train.monitor.csv,33,86179,-615.9549158,-584.9188689999999
-606.848618,356,212.940441,0.1541066792255366,0.1490119988785959,1.9359785318374636,1.9359785318374636,0,100.0,0.0988001121404041,1,-500.0,-600.0,1,100.0,3,0,3,0.1490119988785959,pomdp_lstm_train.monitor.csv,34,86535,-612.8927818,-613.3734022000001
-609.900333,380,213.72694,0.1523977646610061,0.1471346067662693,2.751342296600342,2.0,1,100.0,0.286539323373064,1,-500.0,-600.0,1,100.0,2,0,2,0.1471346067662693,pomdp_lstm_train.monitor.csv,35,86915,-611.5051986,-613.1707155
-610.978727,396,214.496401,0.1507036727410734,0.1466609861406392,1.536220908164978,1.536220908164978,0,100.0,0.3339013859360751,1,-500.0,-600.0,1,100.0,0,0,0,0.1466609861406392,pomdp_lstm_train.monitor.csv,36,87311,-611.4848238000001,-613.3748509999999
-619.062887,558,215.668169,0.1502038307600461,0.1483189555879832,0.7162525653839111,0.7162525653839111,0,100.0,0.1681044412016802,1,-500.0,-600.0,1,100.0,5,0,5,0.1483189555879832,pomdp_lstm_train.monitor.csv,37,87869,-611.7717962,-614.3344932
-616.168561,465,217.971768,0.155020915212698,0.1497577573179611,2.508110523223877,2.0,1,100.0,0.0242242682038817,1,-500.0,-600.0,1,100.0,4,0,4,0.1497577573179611,pomdp_lstm_train.monitor.csv,38,88334,-612.5918252,-614.2733705
-617.181323,486,218.668408,0.1518011579211729,0.1499622208331101,0.6987960934638977,0.6987960934638977,0,100.0,0.0037779166889906,1,-500.0,-600.0,1,100.0,5,0,5,0.1499622208331101,pomdp_lstm_train.monitor.csv,39,88820,-614.6583662,-613.775574
-616.204066,476,219.332237,0.153561387870265,0.1482982299755281,2.149937391281128,2.0,1,100.0,0.1701770024471832,1,-500.0,-600.0,1,100.0,3,0,3,0.1482982299755281,pomdp_lstm_train.monitor.csv,40,89296,-615.9191128,-613.7121557
-624.821,671,220.256126,0.151886580708339,0.1469601238051825,1.872053623199463,1.872053623199463,0,100.0,0.3039876194817492,1,-500.0,-600.0,1,100.0,4,0,4,0.1469601238051825,pomdp_lstm_train.monitor.csv,41,89967,-618.6875674,-615.0861956
-617.01588,479,222.307522,0.1511032393778869,0.1474645828620628,1.3826894760131836,1.3826894760131836,0,100.0,0.2535417137937201,1,-500.0,-600.0,1,100.0,2,0,2,0.1474645828620628,pomdp_lstm_train.monitor.csv,42,90446,-618.2781659999999,-615.0249811
-614.964467,461,222.98608,0.152581958802564,0.1483819288019777,1.5960114002227783,1.5960114002227783,0,100.0,0.1618071198022236,1,-500.0,-600.0,1,100.0,2,0,2,0.1483819288019777,pomdp_lstm_train.monitor.csv,43,90907,-618.0373472,-615.3145861999999
-617.320068,495,223.686618,0.1517627099408325,0.1477095705679567,1.54019296169281,1.54019296169281,0,100.0,0.2290429432043272,1,-500.0,-600.0,1,100.0,4,0,4,0.1477095705679567,pomdp_lstm_train.monitor.csv,44,91402,-618.0650962000001,-616.3617311999999
-618.917968,516,224.417108,0.1518881802638796,0.147978136585094,1.4858165979385376,1.4858165979385376,0,100.0,0.2021863414905955,1,-500.0,-600.0,1,100.0,4,0,4,0.147978136585094,pomdp_lstm_train.monitor.csv,45,91918,-618.6078765999999,-617.2634947
-638.275207,1061,227.791781,0.1508685121916629,0.1456053542969261,2.055858373641968,2.0,1,100.0,0.4394645703073851,1,-500.0,-600.0,1,100.0,9,0,9,0.1456053542969261,pomdp_lstm_train.monitor.csv,46,92979,-621.298718,-619.9931427
-618.987491,509,228.791797,0.1504366833591641,0.148594255164315,0.7001227140426636,0.7001227140426636,0,100.0,0.1405744835684924,1,-500.0,-600.0,1,100.0,8,0,8,0.148594255164315,pomdp_lstm_train.monitor.csv,47,93488,-621.6930402,-619.9856031
-625.719539,675,230.242734,0.1549956651354007,0.1497325072406638,2.3835623264312744,2.0,1,100.0,0.0267492759336129,1,-500.0,-600.0,1,100.0,3,0,3,0.1497325072406638,pomdp_lstm_train.monitor.csv,48,94163,-623.8440545999999,-620.9407009
-520.58084,7256,251.638955,0.8489857378074575,0.8528064394661832,-1.6087164878845217,-1.6087164878845217,0,0.0,0.0,0,-500.0,-500.0,0,0.0,3,0,3,0.1798006204324772,pomdp_lstm_train.monitor.csv,49,101419,-604.496209,-611.2806526
-448.919951,9659,275.798561,0.848769411315726,0.8514701811871993,-1.1371662616729736,-1.1371662616729736,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.4180199880258721,pomdp_lstm_train.monitor.csv,50,111078,-570.4966056000001,-594.5522411
-75.339872,16854,314.002393,0.8444681558509405,0.8528102143605287,-3.5124456882476807,-3.5124456882476807,0,0.0,0.0,0,-500.0,-500.0,0,0.0,0,0,0,0.2446598835509564,pomdp_lstm_train.monitor.csv,51,127932,-457.9095386,-539.6041283000001
988.695235,26279,382.95918,0.5648113602495967,0.561204706722387,1.3705283403396606,1.3705283403396606,0,0.0,0.0,0,0.0164423349497494,0.0164423349497494,0,0.0,0,0,0,0.2287898133588752,pomdp_lstm_train.monitor.csv,52,154211,-136.3729934,-379.0330168
