Feature,Abs Contribution
PV Power,3.8711448438320213
Price,3.1866887594476587
LSTM GHI +1h,3.0883902486700214
SOC,2.9957158690203194
Load,2.2672722834498473
Price Forecast +1h,1.8040150288525312
LSTM Load +4h,1.7861653090912823
Voltage PCC,1.3973383408159905
LSTM Load +1h,1.1181133367833092
LSTM GHI +4h,1.0315867660056404
LSTM Load +3h,0.9739764531959568
CO2 Intensity,0.9494245211790406
LSTM GHI +3h,0.7692439576834944
Grid Power,0.6460515776284633
Time,0.6288644917418069
LSTM GHI +2h,0.4926899020153329
Price Forecast +2h,0.28997408130245517
Price Forecast +4h,0.23024868525837883
Price Forecast +3h,0.1891423052573479
LSTM Load +2h,0.1600406549501543
