Agent,Step,Dataset Index,Proposed Action kW,Safe Action kW,Correction kW,Action kW,Action Label,Reward,Estimated Reward Sum,SOC,P_grid,P_pv,P_load,Voltage PCC,Battery Heat Loss Power,Price,CO2 Intensity,Success,Shield Reason,Fallback Used,Blocked,Forecast Warning,SOC Low Margin,SOC High Margin,Voltage Margin,Local energy effect,Economic effect,Grid import penalty,Voltage stability effect,Battery health effect,CO2 effect,SOC safety effect
POMDP-LSTM-PPO + Formal Shield,0,26280,1.8485276699066162,1.8485276699066162,0.0,1.8485276699066162,Discharge,0.00018370829422160312,0.00018370829422159762,0.49513545350024574,4.734805663426717,0.0,6.583333333333333,0.9970407464603583,0.09729092999508496,47.48578,0.317,1.0,accepted,False,False,False,0.34513545350024577,0.35486454649975424,0.047040746460358385,0.04621319174766541,-0.030914941760482335,-0.011837014158566792,-0.0029592535396416597,-0.00024322732498771244,-7.504666976531347e-05,0.0
POMDP-LSTM-PPO + Formal Shield,1,26281,2.3600711822509766,2.3600711822509766,0.0,2.3600711822509766,Discharge,0.019342501538528283,0.019342501538528286,0.48892473986274315,4.069095484415691,0.0,6.429166666666667,0.9974568153222403,0.12421427275005126,47.48578,0.317,1.0,accepted,False,False,False,0.3389247398627432,0.3610752601372568,0.04745681532224033,0.05900177955627442,-0.026568323783644078,-0.010172738711039226,-0.0025431846777597134,-0.0003105356818751282,-6.449516342798871e-05,0.0
POMDP-LSTM-PPO + Formal Shield,2,26282,2.321733236312866,2.321733236312866,0.0,2.321733236312866,Discharge,0.024465127036673674,0.024465127036673667,0.4828149155566567,3.440766763687134,0.0,5.7625,0.9978495207726955,0.12219648612172966,47.48578,0.317,1.0,accepted,False,False,False,0.33281491555665665,0.3671850844433433,0.04784952077269555,0.058043330907821655,-0.022465780366116895,-0.008601916909217836,-0.0021504792273044915,-0.0003054912153043242,-5.453615320444108e-05,0.0
POMDP-LSTM-PPO + Formal Shield,3,26283,2.2435009479522705,2.2435009479522705,0.0,2.2435009479522705,Discharge,0.014429902895157531,0.014429902895157531,0.4769109656936244,4.2773323853810625,0.0,6.520833333333333,0.9973266672591369,0.11807899726064569,47.48578,0.317,1.0,accepted,False,False,False,0.32691096569362443,0.3730890343063756,0.04732666725913692,0.05608752369880676,-0.02792796388787355,-0.010693330963452657,-0.0026733327408631213,-0.00029519749315161424,-6.779571830828984e-05,0.0
POMDP-LSTM-PPO + Formal Shield,4,26284,2.272857189178467,2.272857189178467,0.0,2.272857189178467,Discharge,0.018730770451468037,0.018730770451468037,0.4709297625642074,3.8271428108215337,0.0,6.1000000000000005,0.9976080357432366,0.11962406258834023,48.97218,0.319,1.0,accepted,False,False,False,0.32092976256420735,0.3790702374357926,0.04760803574323669,0.05682142972946167,-0.02577073490987299,-0.009567857027053834,-0.002391964256763357,-0.0002990601564708506,-6.104292783260346e-05,0.0
POMDP-LSTM-PPO + Formal Shield,5,26285,2.209991693496704,2.209991693496704,0.0,2.209991693496704,Discharge,0.010786433884757921,0.010786433884757925,0.46511399494974237,4.4733416398366295,0.0,6.683333333333334,0.997204161475102,0.11631535228930008,48.97218,0.319,1.0,accepted,False,False,False,0.31511399494974235,0.3848860050502576,0.04720416147510209,0.05524979233741761,-0.03012202764829151,-0.011183354099591574,-0.0027958385248979534,-0.00029078838072325023,-7.134979915539424e-05,0.0
POMDP-LSTM-PPO + Formal Shield,6,26286,2.224724769592285,2.224724769592285,0.0,2.224724769592285,Discharge,0.020802632144235382,0.020802632144235382,0.45925945608239427,3.496108563741049,0.0,5.720833333333334,0.9978149321476618,0.11709077734696224,48.97218,0.319,1.0,accepted,False,False,False,0.30925945608239425,0.3907405439176057,0.04781493214766186,0.05561811923980713,-0.02354165795892187,-0.008740271409352622,-0.002185067852338185,-0.00029272694336740567,-5.576293159166974e-05,0.0
POMDP-LSTM-PPO + Formal Shield,7,26287,2.119751453399658,2.119751453399658,0.0,2.119751453399658,Discharge,0.0055939996002425385,0.005593999600242536,0.45368116278397413,4.771915213267008,0.0,6.891666666666667,0.9970175529917081,0.11156586596840294,48.97218,0.319,1.0,accepted,False,False,False,0.30368116278397417,0.39631883721602584,0.04701755299170818,0.05299378633499146,-0.03213252498071692,-0.011929788033167521,-0.0029824470082918664,-0.0002789146649210074,-7.611204765160878e-05,0.0
POMDP-LSTM-PPO + Formal Shield,8,26288,2.1905481815338135,2.1905481815338135,0.0,2.1905481815338135,Discharge,0.011587905229403435,0.011587905229403433,0.4479165623062536,4.5386184851328535,0.0,6.729166666666667,0.9971633634467919,0.1152920095544111,45.87583,0.331,1.0,accepted,False,False,False,0.29791656230625363,0.4020834376937464,0.04716336344679195,0.05476370453834534,-0.0286292723830867,-0.011346546212832135,-0.002836636553208094,-0.0002882300238860278,-7.511413592894873e-05,0.0
POMDP-LSTM-PPO + Formal Shield,9,26289,2.1407506465911865,2.1407506465911865,0.0,2.1407506465911865,Discharge,0.00987895852064414,0.00987895852064414,0.44228300797311887,4.58841602007548,0.0,6.729166666666667,0.9971322399874528,0.1126710866626939,45.87583,0.331,1.0,accepted,False,False,False,0.2922830079731189,0.4077169920268811,0.04713223998745286,0.053518766164779664,-0.028943391579610657,-0.0114710400501887,-0.0028677600125471825,-0.0002816777166567348,-7.59382851322492e-05,0.0
