Agent,Step,Dataset Index,Proposed Action kW,Safe Action kW,Correction kW,Action kW,Action Label,Reward,Estimated Reward Sum,SOC,P_grid,P_pv,P_load,Voltage PCC,Battery Heat Loss Power,Price,CO2 Intensity,Success,Shield Reason,Fallback Used,Blocked,Forecast Warning,SOC Low Margin,SOC High Margin,Voltage Margin,Local energy effect,Economic effect,Grid import penalty,Voltage stability effect,Battery health effect,CO2 effect,SOC safety effect
MDP-PPO,0,26280,3.7375924587249756,3.7375924587249756,0.0,3.7375924587249756,Discharge,0.06542929680825879,0.0654292968082588,0.49016423037177637,2.8457408746083575,0.0,6.583333333333333,0.9982214119533698,0.19671539256447218,47.48578,0.317,1.0,,,,,,,,0.0934398114681244,-0.018580680952440757,-0.007114352186520893,-0.001778588046630225,-0.0004917884814111805,-4.510499286254247e-05,0.0
MDP-PPO,1,26281,3.6256103515625,3.6256103515625,0.0,3.6256103515625,Discharge,0.06305240941360198,0.06305240941360198,0.4806231504992435,2.803556315104167,0.0,6.429166666666667,0.9982477773030599,0.1908215974506577,47.48578,0.317,1.0,,,,,,,,0.09064025878906251,-0.018305245529538987,-0.007008890787760418,-0.0017522226969400867,-0.0004770539936266443,-4.443636759440105e-05,0.0
MDP-PPO,2,26282,3.5161664485931396,3.5161664485931396,0.0,3.5161664485931396,Discharge,0.06571913713586457,0.06571913713586457,0.47137008089768256,2.2463335514068605,0.0,5.7625,0.9985960415303707,0.18506139203121766,47.48578,0.317,1.0,,,,,,,,0.0879041612148285,-0.01466697386394967,-0.005615833878517151,-0.0014039584696292629,-0.0004626534800780442,-3.560438678979874e-05,0.0
MDP-PPO,3,26283,3.455549955368042,3.455549955368042,0.0,3.455549955368042,Discharge,0.0562923372938015,0.0562923372938015,0.46227652838355615,3.065283377965291,0.0,6.520833333333333,0.9980841978887718,0.1818710502825283,47.48578,0.317,1.0,,,,,,,,0.08638874888420106,-0.020014138667011044,-0.007663208444913228,-0.0019158021112282153,-0.00045467762570632086,-4.8584741540749874e-05,0.0
MDP-PPO,4,26284,3.3902699947357178,3.3902699947357178,0.0,3.3902699947357178,Discharge,0.05755309473539062,0.05755309473539062,0.4533547652395148,2.7097300052642828,0.0,6.1000000000000005,0.9983064187467099,0.17843526288082706,48.97218,0.319,1.0,,,,,,,,0.08475674986839295,-0.01824644051576547,-0.006774325013160707,-0.0016935812532901107,-0.00044608815720206764,-4.3220193583965314e-05,0.0
MDP-PPO,5,26285,3.3201324939727783,3.3201324939727783,0.0,3.3201324939727783,Discharge,0.04935610656306825,0.04935610656306825,0.4446175744659022,3.3632008393605552,0.0,6.683333333333334,0.9978979994753996,0.1747438154722513,48.97218,0.319,1.0,,,,,,,,0.08300331234931946,-0.02264670057118098,-0.008408002098401389,-0.0021020005246004114,-0.00043685953868062826,-5.364305338780086e-05,0.0
MDP-PPO,6,26286,3.2316477298736572,3.2316477298736572,0.0,3.2316477298736572,Discharge,0.05578620267301253,0.05578620267301253,0.43611323833465576,2.489185603459677,0.0,5.720833333333334,0.9984442589978377,0.17008672262492913,48.97218,0.319,1.0,,,,,,,,0.08079119324684143,-0.01676136624607994,-0.006222964008649193,-0.0015557410021622697,-0.0004252168065623229,-3.970251037518185e-05,0.0
MDP-PPO,7,26287,3.1496405601501465,3.1496405601501465,0.0,3.1496405601501465,Discharge,0.04137548400770606,0.04137548400770606,0.42782471054478693,3.74202610651652,0.0,6.891666666666667,0.9976612336834272,0.16577055579737596,48.97218,0.319,1.0,,,,,,,,0.07874101400375366,-0.025197586707291105,-0.0093550652662913,-0.0023387663165728156,-0.0004144263894934399,-5.96853163989385e-05,0.0
MDP-PPO,8,26288,3.128905773162842,3.128905773162842,0.0,3.128905773162842,Discharge,0.04379036504395724,0.043790365043957245,0.4195907479838321,3.600260893503825,0.0,6.729166666666667,0.99774983694156,0.16467925121909677,45.87583,0.331,1.0,,,,,,,,0.07822264432907106,-0.022710181547079072,-0.009000652233759563,-0.002250163058439947,-0.00041169812804774195,-5.958431778748831e-05,0.0
MDP-PPO,9,26289,3.057215452194214,3.057215452194214,0.0,3.057215452194214,Discharge,0.04133010394447935,0.041330103944479356,0.4115454441622684,3.671951214472453,0.0,6.729166666666667,0.9977050304909547,0.16090607643127425,45.87583,0.331,1.0,,,,,,,,0.07643038630485535,-0.023162398831471875,-0.009179878036181133,-0.002294969509045286,-0.0004022651910781857,-6.07707925995191e-05,0.0
