Agent,Step,Dataset Index,Proposed Action kW,Safe Action kW,Correction kW,Action kW,Action Label,Reward,Estimated Reward Sum,SOC,P_grid,P_pv,P_load,Voltage PCC,Battery Heat Loss Power,Price,CO2 Intensity,Success,Shield Reason,Fallback Used,Blocked,Forecast Warning,SOC Low Margin,SOC High Margin,Voltage Margin,Local energy effect,Economic effect,Grid import penalty,Voltage stability effect,Battery health effect,CO2 effect,SOC safety effect
POMDP-LSTM-PPO,0,26280,3.150627374649048,3.150627374649048,0.0,3.150627374649048,Discharge,0.04515636462805528,0.04515636462805528,0.49170887532987095,3.432705958684285,0.0,6.583333333333333,0.9978545587758224,0.1658224934025813,47.48578,0.317,1.0,,,,,,,,0.0787656843662262,-0.02241314899433102,-0.008581764896710713,-0.002145441224177591,-0.0004145562335064533,-5.440838944514592e-05,0.0
POMDP-LSTM-PPO,1,26281,3.622654914855957,3.622654914855957,0.0,3.622654914855957,Discharge,0.06295033286843763,0.06295033286843761,0.4821755729223553,2.80651175181071,0.0,6.429166666666667,0.9982459301551184,0.19066604815031332,47.48578,0.317,1.0,,,,,,,,0.09056637287139893,-0.018324542446910976,-0.007016279379526776,-0.0017540698448815784,-0.0004766651203757834,-4.4483211266199766e-05,0.0
POMDP-LSTM-PPO,2,26282,3.5292890071868896,3.5292890071868896,0.0,3.5292890071868896,Discharge,0.06617237148935366,0.06617237148935366,0.47288797027186347,2.2332109928131105,0.0,5.7625,0.9986042431294918,0.1857520530098361,47.48578,0.317,1.0,,,,,,,,0.08823222517967225,-0.014581292811016932,-0.0055830274820327765,-0.0013957568705081913,-0.0004643801325245903,-3.5396394236087804e-05,0.0
POMDP-LSTM-PPO,3,26283,3.443232297897339,3.443232297897339,0.0,3.443232297897339,Discharge,0.05586690307071533,0.05586690307071533,0.4638268326458178,3.077601035435994,0.0,6.520833333333333,0.9980764993528526,0.18122275252091238,47.48578,0.317,1.0,,,,,,,,0.08608080744743347,-0.0200945642832668,-0.007694002588589986,-0.0019235006471474136,-0.000453056881302281,-4.877997641166051e-05,0.0
POMDP-LSTM-PPO,4,26284,3.4753828048706055,3.4753828048706055,0.0,3.4753828048706055,Discharge,0.06051017299629773,0.06051017299629773,0.4546810884224741,2.624617195129395,0.0,6.1000000000000005,0.9983596142530442,0.18291488446687376,48.97218,0.319,1.0,,,,,,,,0.08688457012176515,-0.017673318535258633,-0.006561542987823488,-0.001640385746955797,-0.00045728721116718445,-4.1862644262313854e-05,0.0
POMDP-LSTM-PPO,5,26285,3.3790996074676514,3.3790996074676514,0.0,3.3790996074676514,Discharge,0.051404803688069683,0.051404803688069683,0.44578872103440137,3.304233725865682,0.0,6.683333333333334,0.997934853921334,0.17784734776145514,48.97218,0.319,1.0,,,,,,,,0.08447749018669129,-0.02224963520796017,-0.008260584314664206,-0.002065146078666036,-0.0004446183694036379,-5.270252792755764e-05,0.0
POMDP-LSTM-PPO,6,26286,3.353209972381592,3.353209972381592,0.0,3.353209972381592,Discharge,0.060009645232336276,0.060009645232336276,0.43696448426497614,2.3676233609517423,0.0,5.720833333333334,0.9985202353994052,0.17648473538850465,48.97218,0.319,1.0,,,,,,,,0.0838302493095398,-0.015942805643150884,-0.005919058402379356,-0.0014797646005948462,-0.00044121183847126166,-3.776359260718029e-05,0.0
POMDP-LSTM-PPO,7,26287,3.210291624069214,3.210291624069214,0.0,3.210291624069214,Discharge,0.04348268669942458,0.04348268669942458,0.4285163484121624,3.6813750425974527,0.0,6.891666666666667,0.9976991405983766,0.16896271705627422,48.97218,0.319,1.0,,,,,,,,0.08025729060173036,-0.024789182169618642,-0.009203437606493631,-0.0023008594016233896,-0.00042240679264068557,-5.871793192942938e-05,0.0
POMDP-LSTM-PPO,8,26288,3.2736313343048096,3.2736313343048096,0.0,3.2736313343048096,Discharge,0.04875704204256516,0.04875704204256516,0.41990152911136025,3.4555353323618574,0.0,6.729166666666667,0.9978402904172738,0.1722963860160424,45.87583,0.331,1.0,,,,,,,,0.08184078335762024,-0.021797263326633586,-0.008638838330904643,-0.0021597095827261548,-0.000430740965040106,-5.718910975058874e-05,0.0
POMDP-LSTM-PPO,9,26289,3.2058680057525635,3.2058680057525635,0.0,3.2058680057525635,Discharge,0.0464315470670134,0.0464315470670134,0.4114650343593798,3.5232986609141035,0.0,6.729166666666667,0.9977979383369286,0.16872989503960842,45.87583,0.331,1.0,,,,,,,,0.08014670014381409,-0.022224709431006923,-0.00880824665228526,-0.002202061663071353,-0.0004218247375990211,-5.831059283812842e-05,0.0
POMDP-LSTM-PPO,10,26290,3.136720895767212,3.136720895767212,0.0,3.136720895767212,Discharge,0.04901953884995728,0.04901953884995727,0.4032105056863082,3.0674457708994547,0.0,6.204166666666667,0.9980828463931879,0.16509057346143202,45.87583,0.331,1.0,,,,,,,,0.0784180223941803,-0.01934922284900032,-0.007668614427248637,-0.0019171536068121053,-0.00041272643365358004,-5.076622750838598e-05,0.0
POMDP-LSTM-PPO,11,26291,3.010460138320923,3.010460138320923,0.0,3.010460138320923,Discharge,0.04728514116709022,0.04728514116709021,0.395288242164411,2.9187065283457443,0.0,5.929166666666667,0.9981758084197839,0.15844527043794313,45.87583,0.331,1.0,,,,,,,,0.07526150345802307,-0.018410986620713443,-0.007296766320864361,-0.0018241915802160724,-0.00039611317609485785,-4.8304593044122074e-05,0.0
POMDP-LSTM-PPO,12,26292,2.8722803592681885,2.8722803592681885,0.0,2.8722803592681885,Discharge,0.04488753985869269,0.0448875398586927,0.387729609640021,2.8277196407318117,0.0,5.7,0.9982326752245426,0.15117265048779924,45.41417,0.335,1.0,,,,,,,,0.07180700898170471,-0.01765754931552335,-0.007069299101829529,-0.0017673247754573795,-0.0003779316262194981,-4.736430398225785e-05,0.0
POMDP-LSTM-PPO,13,26293,2.7203447818756104,2.7203447818756104,0.0,2.7203447818756104,Discharge,0.036788966645300736,0.03678896664530074,0.3805708075824536,3.2879885514577225,0.0,6.008333333333333,0.9979450071553388,0.14317604115134774,45.41417,0.335,1.0,,,,,,,,0.06800861954689026,-0.020531674767168776,-0.008219971378644306,-0.002054992844661152,-0.0003579401028783694,-5.507380823691685e-05,0.0
POMDP-LSTM-PPO,14,26294,2.7007079124450684,2.7007079124450684,0.0,2.7007079124450684,Discharge,0.048161934404124244,0.048161934404124244,0.3734636814970718,2.024292087554932,0.0,4.7250000000000005,0.9987348174452783,0.14214252170763503,45.41417,0.335,1.0,,,,,,,,0.06751769781112671,-0.012640587436657755,-0.00506073021888733,-0.0012651825547217443,-0.0003553563042690876,-3.3906892466545114e-05,0.0
POMDP-LSTM-PPO,15,26295,2.5068156719207764,2.5068156719207764,0.0,2.5068156719207764,Discharge,0.0383523875434312,0.0383523875434312,0.36686679814991185,2.5556843280792245,0.0,5.062500000000001,0.9984026972949505,0.1319376669431986,45.41417,0.335,1.0,,,,,,,,0.0626703917980194,-0.015958838849487282,-0.006389210820198062,-0.0015973027050495414,-0.00032984416735799653,-4.280771249532702e-05,0.0
POMDP-LSTM-PPO,16,26296,2.4324958324432373,2.4324958324432373,0.0,2.4324958324432373,Discharge,0.03756206370237824,0.03756206370237824,0.3604654933276928,2.6050041675567632,0.0,5.0375000000000005,0.998371872395277,0.12802609644438076,41.16903,0.333,1.0,,,,,,,,0.06081239581108094,-0.014746255524587045,-0.006512510418891908,-0.0016281276047229731,-0.00032006524111095197,-4.337331938982011e-05,0.0
POMDP-LSTM-PPO,17,26297,2.402026653289795,2.402026653289795,0.0,2.402026653289795,Discharge,0.04486173709064064,0.04486173709064064,0.35414437055587755,1.6896400133768719,0.0,4.091666666666667,0.9989439749916394,0.12642245543630484,41.16903,0.333,1.0,,,,,,,,0.06005066633224487,-0.009564615554988016,-0.00422410003344218,-0.0010560250083605505,-0.00031605613859076213,-2.813250622272492e-05,0.0
POMDP-LSTM-PPO,18,26298,2.2036049365997314,2.2036049365997314,0.0,2.2036049365997314,Discharge,0.034256317037316276,0.034256317037316276,0.3483454101964046,2.333895063400269,0.0,4.5375000000000005,0.9985413155853748,0.11597920718945942,41.16903,0.333,1.0,,,,,,,,0.05509012341499329,-0.013211576933771918,-0.005834737658500673,-0.0014586844146251554,-0.00028994801797364855,-3.885935280561449e-05,0.0
