Feature,Feature Group,Mean_Abs_Contribution,Mean_Contribution,Std_Abs_Contribution,Explanation_Count
PV Power,Renewable generation,5.7036100178541025,-5.7036100178541025,1.058023615051271,25
SOC,Battery state,5.363625817709103,5.363625817709103,1.1134806409395908,25
LSTM GHI +1h,LSTM solar forecast,3.6997548256228794,-3.6997548256228794,0.912691895236313,25
Price,Economic signal,3.3700531923129673,3.3700531923129673,0.6970773665982798,25
Load,Demand,2.9961967084518593,2.9961967084518593,0.737615598190082,25
LSTM Load +4h,LSTM load forecast,2.928415537339066,-2.928415537339066,0.7246808431795505,25
Voltage PCC,Grid stability,1.9631798841427608,-1.9631798841427608,0.46482377675796993,25
CO2 Intensity,Carbon signal,1.9099392391547139,1.9099392391547139,0.45128117051998423,25
Price Forecast +1h,Price forecast,1.7967310993328187,1.7967310993328187,0.5024540045982825,25
LSTM GHI +4h,LSTM solar forecast,1.7575631858438157,1.7575631858438157,0.5443594286964912,25
LSTM Load +3h,LSTM load forecast,1.693929881197146,-1.693929881197146,0.5046096799999695,25
LSTM Load +1h,LSTM load forecast,1.505874508063188,1.505874508063188,0.477337510111895,25
LSTM GHI +3h,LSTM solar forecast,1.3400142838986617,1.3400142838986617,0.4828781112116217,25
Grid Power,Grid exchange,0.9897003616959189,-0.9897003616959189,0.39607932774076116,25
Price Forecast +4h,Price forecast,0.5390289904713967,0.5338853948770449,0.33439279633772184,25
Price Forecast +2h,Price forecast,0.3269580698368669,-0.2826883145996169,0.19659749568000653,25
Time,Time,0.2750591511378682,-0.09894975155598593,0.19292525497935295,25
Price Forecast +3h,Price forecast,0.2586178081469192,-0.1232307979111774,0.2072850871122407,25
LSTM Load +2h,LSTM load forecast,0.22742362592238294,0.1267389252756887,0.17261163694947787,25
LSTM GHI +2h,LSTM solar forecast,0.22170954726120964,0.1976783604732153,0.16183713206284991,25
