Agent,Step,Dataset Index,Proposed Action kW,Safe Action kW,Correction kW,Action kW,Action Label,Reward,Estimated Reward Sum,SOC,P_grid,P_pv,P_load,Voltage PCC,Battery Heat Loss Power,Price,CO2 Intensity,Success,Near Low SOC Zone,Near High SOC Zone,Dangerous Discharge Near Low SOC,Dangerous Charge Near High SOC,Shield Reason,Fallback Used,Blocked,Final Blocked,Clipped,Forecast Warning,Dynamic Reserve Active,SOC Low Margin,SOC High Margin,Voltage Margin,Economic effect,Local energy effect,Grid import penalty,Voltage stability effect,CO2 effect,Battery health effect,SOC safety effect
MDP-PPO,0,26280,0.7001264095306396,0.7001264095306396,0.0,0.7001264095306396,Discharge,-0.03948042420509908,-0.03948042420509908,0.4981575620801825,5.883206923802693,0.0,6.583333333333333,0.9963229956726234,0.036848758396349414,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,-0.03841319208074858,0.01750316023826599,-0.014708017309506733,-0.0036770043273766095,-9.32488297422727e-05,-9.212189599087354e-05,0.0
MDP-PPO,1,26281,0.7217934131622314,0.7217934131622314,0.0,0.7217934131622314,Discharge,-0.03724126299213182,-0.03724126299213182,0.4962581057297556,5.707373253504436,0.0,6.429166666666667,0.9964328917165598,0.03798912700853845,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,-0.03726512222039693,0.018044835329055788,-0.01426843313376109,-0.0035671082834402013,-9.046186606804531e-05,-9.497281752134614e-05,0.0
MDP-PPO,2,26282,0.709949254989624,0.709949254989624,0.0,0.709949254989624,Discharge,-0.03120358006188661,-0.03120358006188661,0.49438981821662503,5.052550745010376,0.0,5.7625,0.9968421557843685,0.03736575026261175,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,-0.032989593053504844,0.0177487313747406,-0.012631376862525941,-0.003157844215631478,-8.008292930841448e-05,-9.341437565652937e-05,0.0
MDP-PPO,3,26283,0.6987377405166626,0.6987377405166626,0.0,0.6987377405166626,Discharge,-0.038924002794341384,-0.038924002794341384,0.4925510346889496,5.82209559281667,0.0,6.520833333333333,0.9963611902544897,0.03677567055350852,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,-0.03801417818817602,0.017468443512916567,-0.014555238982041677,-0.0036388097455103408,-9.228021514614423e-05,-9.19391763837713e-05,0.0
MDP-PPO,4,26284,0.6915997266769409,0.6915997266769409,0.0,0.6915997266769409,Discharge,-0.03620692999397554,-0.03620692999397554,0.49073103540822083,5.40840027332306,0.0,6.1000000000000005,0.9966197498291731,0.036399985614575796,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,-0.03641840835836859,0.017289993166923524,-0.01352100068330765,-0.0033802501708268817,-8.62639843595028e-05,-9.09999640364395e-05,0.0
MDP-PPO,5,26285,0.6849548816680908,0.6849548816680908,0.0,0.6849548816680908,Discharge,-0.04219798991930283,-0.04219798991930283,0.48892852256172586,5.998378451665243,0.0,6.683333333333334,0.9962510134677092,0.03605025692989948,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,-0.04039112952092235,0.017123872041702272,-0.014995946129163107,-0.0037489865322908322,-9.567413630406063e-05,-9.012564232474871e-05,0.0
MDP-PPO,6,26286,0.6797643303871155,0.6797643303871155,0.0,0.6797643303871155,Discharge,-0.032873999158323605,-0.03287399915832361,0.48713966906070716,5.041069002946219,0.0,5.720833333333334,0.9968493318731586,0.03577707002037446,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,-0.03394491905814663,0.016994108259677888,-0.012602672507365548,-0.003150668126841394,-8.040505059699219e-05,-8.944267505093616e-05,0.0
MDP-PPO,7,26287,0.6653684377670288,0.6653684377670288,0.0,0.6653684377670288,Discharge,-0.04493569612645131,-0.04493569612645131,0.485388699487636,6.226298228899638,0.0,6.891666666666667,0.9961085636069378,0.03501939146142253,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,-0.041925867169911216,0.01663421094417572,-0.015565745572249094,-0.0038914363930622198,-9.930945675094923e-05,-8.754847865355633e-05,0.0
MDP-PPO,8,26288,0.6439926624298096,0.6439926624298096,0.0,0.6439926624298096,Discharge,-0.04148662882798419,-0.041486628827984186,0.483693981954926,6.085174004236857,0.0,6.729166666666667,0.9961967662473519,0.03389435065420047,45.87583,0.331,1.0,False,False,False,False,,,,,,,,,,,-0.038384831119083536,0.01609981656074524,-0.015212935010592144,-0.0038032337526481275,-0.00010070962977011999,-8.473587663550118e-05,0.0
MDP-PPO,9,26289,0.6330463886260986,0.6330463886260986,0.0,0.6330463886260986,Discharge,-0.041862281932331234,-0.04186228193233124,0.48202807040590995,6.096120278040568,0.0,6.729166666666667,0.9961899248262246,0.03331823098032095,45.87583,0.331,1.0,False,False,False,False,,,,,,,,,,,-0.038453879411054506,0.015826159715652467,-0.015240300695101421,-0.003810075173775407,-0.00010089079060157142,-8.329557745080238e-05,0.0
