Feature,Feature Group,Mean_Abs_Contribution,Mean_Contribution,Std_Abs_Contribution,Explanation_Count
PV Power,Renewable generation,2.3074331250124414,-2.3074331250124414,0.8254728173694602,15
LSTM GHI +1h,LSTM solar forecast,1.8827376576792847,-1.8827376576792847,0.7566361175069426,15
SOC,Battery state,1.2919624952914441,1.2919624952914441,0.607937284548181,15
LSTM GHI +2h,LSTM solar forecast,0.671586153428229,-0.665376169992864,0.38941007494814733,15
LSTM Load +4h,LSTM load forecast,0.6046913727138723,-0.6046913727138723,0.2636989415373704,15
Price Forecast +4h,Price forecast,0.5686804627321009,-0.5686804627321009,0.25470897689498667,15
Price,Economic signal,0.4887991908044818,0.4887991908044818,0.26188376562201693,15
Price Forecast +3h,Price forecast,0.48547222202254947,-0.48547222202254947,0.2051110286489861,15
Price Forecast +1h,Price forecast,0.48232014666484296,0.48158625543634276,0.28315071058686003,15
CO2 Intensity,Carbon signal,0.46006389699185096,0.4581671691484169,0.27776337475913015,15
Voltage PCC,Grid stability,0.37955147527838545,-0.37955147527838545,0.18558256480169472,15
Time,Time,0.3643582455967991,0.3643582455967991,0.14476923709448386,15
LSTM Load +1h,LSTM load forecast,0.25619758217309874,0.24767681608603678,0.18388670199784493,15
LSTM Load +3h,LSTM load forecast,0.22575183508906455,-0.22575183508906455,0.12796619518236813,15
LSTM GHI +3h,LSTM solar forecast,0.21519523272704583,-0.11189581440872057,0.1285044673984221,15
Load,Demand,0.18353199816411475,0.18353199816411475,0.11721707414766462,15
LSTM GHI +4h,LSTM solar forecast,0.1718288539784775,0.03783457318166248,0.1376620576208845,15
Price Forecast +2h,Price forecast,0.16332955775628086,-0.16332955775628086,0.10278859705249922,15
Grid Power,Grid exchange,0.12381022550750388,-0.014933053604584193,0.08931547129491693,15
LSTM Load +2h,LSTM load forecast,0.10675349549411353,-0.07753854004816282,0.08254087323308562,15
