Agent,Step,Dataset Index,Proposed Action kW,Safe Action kW,Correction kW,Action kW,Action Label,Reward,Estimated Reward Sum,SOC,P_grid,P_pv,P_load,Voltage PCC,Battery Heat Loss Power,Price,CO2 Intensity,Success,Near Low SOC Zone,Near High SOC Zone,Dangerous Discharge Near Low SOC,Dangerous Charge Near High SOC,Shield Reason,Fallback Used,Blocked,Final Blocked,Clipped,Forecast Warning,Dynamic Reserve Active,SOC Low Margin,SOC High Margin,Voltage Margin,Local energy effect,Economic effect,Grid import penalty,Voltage stability effect,Battery health effect,CO2 effect,SOC safety effect
POMDP-LSTM-PPO,0,26280,1.4940303564071655,1.4940303564071655,0.0,1.4940303564071655,Discharge,-0.012060120494935298,-0.0120601204949353,0.49606834116734955,5.0893029769261675,0.0,6.583333333333333,0.9968191856394212,0.07863317665300862,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,0.03735075891017914,-0.0332295592084034,-0.012723257442315419,-0.003180814360578821,-0.00019658294163252157,-8.066545218427975e-05,0.0
POMDP-LSTM-PPO,1,26281,1.5458999872207642,1.5458999872207642,0.0,1.5458999872207642,Discharge,-0.008777803855629972,-0.00877780385562997,0.4920001833062423,4.883266679445903,0.0,6.429166666666667,0.9969479583253463,0.08136315722214539,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,0.03864749968051911,-0.03188428749295607,-0.012208166698614758,-0.0030520416746536716,-0.0002034078930553635,-7.739977686921758e-05,0.0
POMDP-LSTM-PPO,2,26282,1.533520221710205,1.533520221710205,0.0,1.533520221710205,Discharge,-0.0027586200346709066,-0.002758620034670906,0.48796460377542594,4.228979778289795,0.0,5.7625,0.9973568876385689,0.08071159061632649,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,0.03833800554275513,-0.027612255464243726,-0.010572449445724488,-0.0026431123614311103,-0.00020177897654081626,-6.702932948589327e-05,0.0
POMDP-LSTM-PPO,3,26283,1.5298405885696411,1.5298405885696411,0.0,1.5298405885696411,Discharge,-0.010218902388109123,-0.010218902388109125,0.48393870748971635,4.990992744763692,0.0,6.520833333333333,0.9968806295345227,0.08051792571419154,47.48578,0.317,1.0,False,False,False,False,,,,,,,,,,,0.03824601471424103,-0.03258766272567366,-0.01247748186190923,-0.003119370465477278,-0.0002012948142854789,-7.910723500450453e-05,0.0
POMDP-LSTM-PPO,4,26284,1.5351593494415283,1.5351593494415283,0.0,1.5351593494415283,Discharge,-0.006899099383014891,-0.006899099383014888,0.4798988144648702,4.564840650558472,0.0,6.1000000000000005,0.997146974593401,0.08079786049692245,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,0.03837898373603821,-0.03073815222643916,-0.01141210162639618,-0.0028530254065990412,-0.00020199465124230614,-7.280920837640764e-05,0.0
POMDP-LSTM-PPO,5,26285,1.52907133102417,1.52907133102417,0.0,1.52907133102417,Discharge,-0.012870813456569801,-0.012870813456569796,0.4758749425411224,5.154262002309164,0.0,6.683333333333334,0.9967785862485568,0.08047743847495623,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,0.03822678327560425,-0.034707123899833665,-0.01288565500577291,-0.0032214137514432473,-0.0002011935961873906,-8.221047893683117e-05,0.0
POMDP-LSTM-PPO,6,26286,1.5276508331298828,1.5276508331298828,0.0,1.5276508331298828,Discharge,-0.0034158395580985348,-0.0034158395580985348,0.47185480876972796,4.193182500203451,0.0,5.720833333333334,0.9973792609373728,0.08040267542788848,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,0.038191270828247074,-0.02823552712376185,-0.010482956250508628,-0.0026207390626271643,-0.00020100668856972123,-6.688126087824504e-05,0.0
POMDP-LSTM-PPO,7,26287,1.5107500553131104,1.5107500553131104,0.0,1.5107500553131104,Discharge,-0.015564563867345033,-0.015564563867345036,0.4678791507294303,5.380916611353556,0.0,6.891666666666667,0.9966369271179041,0.07951316080595308,48.97218,0.319,1.0,False,False,False,False,,,,,,,,,,,0.03776875138282776,-0.03623334231772701,-0.01345229152838389,-0.003363072882095919,-0.0001987829020148827,-8.582561995108924e-05,0.0
POMDP-LSTM-PPO,8,26288,1.5263915061950684,1.5263915061950684,0.0,1.5263915061950684,Discharge,-0.011204555596787598,-0.011204555596787598,0.4638623309762854,5.202775160471599,0.0,6.729166666666667,0.9967482655247052,0.08033639506289825,45.87583,0.331,1.0,False,False,False,False,,,,,,,,,,,0.03815978765487671,-0.03281872395862745,-0.013006937901178997,-0.0032517344752948096,-0.00020084098765724563,-8.610592890580497e-05,0.0
POMDP-LSTM-PPO,9,26289,1.5182121992111206,1.5182121992111206,0.0,1.5182121992111206,Discharge,-0.011485252216936621,-0.011485252216936618,0.4598670357152035,5.210954467455546,0.0,6.729166666666667,0.9967431534578403,0.07990590522163783,45.87583,0.331,1.0,False,False,False,False,,,,,,,,,,,0.03795530498027802,-0.032870318426925546,-0.013027386168638867,-0.0032568465421597415,-0.00019976476305409458,-8.62412964363893e-05,0.0
POMDP-LSTM-PPO,10,26290,1.5091487169265747,1.5091487169265747,0.0,1.5091487169265747,Discharge,-0.00683531664645565,-0.00683531664645565,0.45589559172329147,4.695017949740092,0.0,6.204166666666667,0.9970656137814125,0.07942887983824068,45.87583,0.331,1.0,False,False,False,False,,,,,,,,,,,0.03772871792316437,-0.029615828730018445,-0.01173754487435023,-0.002934386218587548,-0.0001985721995956017,-7.770254706819854e-05,0.0
POMDP-LSTM-PPO,11,26291,1.491665005683899,1.491665005683899,0.0,1.491665005683899,Discharge,-0.004836714788032022,-0.004836714788032022,0.4519701574978075,4.437501660982768,0.0,5.929166666666667,0.9972265614618858,0.07850868450967881,45.87583,0.331,1.0,False,False,False,False,,,,,,,,,,,0.037291625142097475,-0.027991434875794932,-0.011093754152456921,-0.0027734385381141813,-0.00019627171127419704,-7.344065248926482e-05,0.0
POMDP-LSTM-PPO,12,26292,1.4582514762878418,1.4582514762878418,0.0,1.4582514762878418,Discharge,-0.0035494813874780897,-0.003549481387478091,0.4481326536128395,4.241748523712158,0.0,5.7,0.9973489071726799,0.07675007769936001,45.41417,0.335,1.0,False,False,False,False,,,,,,,,,,,0.036456286907196045,-0.02648737967605304,-0.010604371309280396,-0.002651092827320123,-0.00019187519424840004,-7.104928777217866e-05,0.0
POMDP-LSTM-PPO,13,26293,1.4299407005310059,1.4299407005310059,0.0,1.4299407005310059,Discharge,-0.007413334069021218,-0.0074133340690212155,0.44436965176933685,4.578392632802327,0.0,6.008333333333333,0.9971385046044985,0.07526003687005285,45.41417,0.335,1.0,False,False,False,False,,,,,,,,,,,0.035748517513275145,-0.02858953643601446,-0.011445981582005818,-0.002861495395501512,-0.00018815009217513216,-7.668807659943899e-05,0.0
POMDP-LSTM-PPO,14,26294,1.4285097122192383,1.4285097122192383,0.0,1.4285097122192383,Discharge,0.004583269218870607,0.0045832692188706075,0.4406104156845494,3.2964902877807623,0.0,4.7250000000000005,0.9979396935701371,0.0751847216957493,45.41417,0.335,1.0,False,False,False,False,,,,,,,,,,,0.03571274280548096,-0.020584763420735865,-0.008241225719451906,-0.0020603064298628793,-0.00018796180423937328,-5.521621232032777e-05,0.0
POMDP-LSTM-PPO,15,26295,1.4070384502410889,1.4070384502410889,0.0,1.4070384502410889,Discharge,0.0006799373596154991,0.000679937359615499,0.43690768292075705,3.655461549758912,0.0,5.062500000000001,0.9977153365314007,0.0740546552758467,45.41417,0.335,1.0,False,False,False,False,,,,,,,,,,,0.035175961256027226,-0.022826340934267022,-0.00913865387439728,-0.002284663468599346,-0.00018513663818961676,-6.122898095846178e-05,0.0
POMDP-LSTM-PPO,16,26296,1.387634038925171,1.387634038925171,0.0,1.387634038925171,Discharge,0.0023807179788172626,0.00238071797881726,0.43325601439726974,3.6498659610748296,0.0,5.0375000000000005,0.9977188337743282,0.07303337046974576,41.16903,0.333,1.0,False,False,False,False,,,,,,,,,,,0.034690850973129274,-0.02066094817152692,-0.009124664902687074,-0.00228116622567176,-0.0001825834261743644,-6.077026825189591e-05,0.0
